3 Semi: 1.0 Eccen: 0.0 MeanAn0: 0.0
generatorType seed java.util.Random@133314b
---------------------------------
Time Xpos Ypos Zpos Radius Theta
---------------------------------
0.0 1.622564143594022E10 3.447821683155662E9 -3.283464606359026E9 1.0 0.1739150718265346
1.9025875E-5 1.6224362466018826E10 3.448950205529822E9 -3.2829668286761813E9 1.0 0.1741068194250203
3.805175E-5 1.622295679243059E10 3.4500222431526475E9 -3.2824130723627825E9 1.0 0.174298567023506
5.707762499999999E-5 1.6222747269647905E10 3.449608505015975E9 -3.282251124067186E9 1.0 0.174298567023506
7.61035E-5 1.6223241592911837E10 3.44729451799655E9 -3.282196622071234E9 1.0 0.17449031462199172
9.5129375E-5 1.622172834588395E10 3.448186802012548E9 -3.281700387386233E9 1.0 0.1746820622204774
1.1415525E-4 1.6221750443892292E10 3.448273175296997E9 -3.281672929096899E9 1.0 0.1746820622204774
1.33181125E-4 1.6220437145897974E10 3.449375980597335E9 -3.2811576972332063E9 1.0 0.1748738098189631
1.52207E-4 1.622043927439322E10 3.4494086892109942E9 -3.2811569374492903E9 1.0 0.1748738098189631
1.7123287499999998E-4 1.6219199836678926E10 3.450333102715342E9 -3.2806522395592947E9 1.0 0.1750655574174488
1.9025874999999996E-4 1.6217970015688147E10 3.451629508504438E9 -3.2801583534388323E9 1.0 0.1752573050159345
2.0928462499999995E-4 1.6217651001355318E10 3.4514712109290957E9 -3.2799428542679577E9 1.0 0.1752573050159345
2.2831049999999994E-4 1.6217908252185995E10 3.4490419310377417E9 -3.2798741433510795E9 1.0 0.17544905261442023
2.4733637499999993E-4 1.6216607929438393E10 3.4501326018787975E9 -3.279366461069903E9 1.0 0.17564080021290593
2.6636224999999994E-4 1.621662291945757E10 3.4501547354505153E9 -3.2793648929831715E9 1.0 0.17564080021290593
